"Tipo","Mensaje","Archivo","Linea","Severidad","Estado","Regla"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/AbonoController.cs","37","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/AbonoController.cs","56","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/AbonoController.cs","79","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/AuthController.cs","96","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/EmpleadoController.cs","64","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/EmpleadoController.cs","69","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/EmpleadoController.cs","77","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/EmpleadoController.cs","141","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/EmpleadoController.cs","170","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/EmpleadoController.cs","190","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/EmpleadoController.cs","204","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/EmpleadoController.cs","209","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/FacturaController.cs","61","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/FacturaController.cs","84","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/FacturaController.cs","98","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/FacturaController.cs","177","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/PagoController.cs","34","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/PagoController.cs","39","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/PagoController.cs","45","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/PagoController.cs","54","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/PagoController.cs","55","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/ProductoController.cs","60","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/ProductoController.cs","107","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/ProductoController.cs","126","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/ProductoController.cs","149","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/ServicioController.cs","60","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/ServicioController.cs","107","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/ServicioController.cs","126","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/SolicitudController.cs","75","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/SolicitudController.cs","94","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/SolicitudController.cs","117","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/SolicitudController.cs","159","MINOR","OPEN","roslyn.sonaranalyzer.security.cs:S5145"
