"Tipo","Mensaje","Archivo","Linea","Severidad","Estado","Regla"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/AuthController.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/AbonoController.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/AbonoController.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/AbonoController.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/AuthController.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/EmpleadoController.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/EmpleadoController.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/EmpleadoController.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/EmpleadoController.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/EmpleadoController.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/EmpleadoController.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/EmpleadoController.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/EmpleadoController.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/FacturaController.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/FacturaController.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/FacturaController.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/FacturaController.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/PagoController.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/PagoController.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/PagoController.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/PagoController.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/PagoController.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/ProductoController.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/ProductoController.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/ProductoController.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/ProductoController.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/ServicioController.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/ServicioController.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/ServicioController.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/SolicitudController.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/SolicitudController.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/SolicitudController.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/SolicitudController.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/SolicitudController.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Controllers/SolicitudController.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/AbonoService.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/AbonoService.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/AbonoService.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/AuthService.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/AuthService.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/AuthService.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/AuthService.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/AuthService.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/FacturaService.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/FacturaService.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/FacturaService.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/FacturaService.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/FacturaService.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/ProductoService.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/ProductoService.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/ProductoService.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/ProductoService.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/ProductoService.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/ProductoService.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/ProductoService.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/ProductoService.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/ProductoService.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/ServicioService.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/ServicioService.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/ServicioService.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/ServicioService.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/ServicioService.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/ServicioService.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/SolicitudService.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/SolicitudService.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/SolicitudService.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/SolicitudService.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/SolicitudService.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/SolicitudService.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/SolicitudService.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/SolicitudService.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/SolicitudService.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"VULNERABILITY","Change this code to not log user-controlled data.","ProyectoWeb/Services/StripePaymentService.cs",,"MINOR","CLOSED","roslyn.sonaranalyzer.security.cs:S5145"
"BUG","Add ""<th>"" headers to this ""<table>"".","ProyectoWeb/reporte_html/index.html","90","MAJOR","OPEN","Web:S5256"
"BUG","Add ""<th>"" headers to this ""<table>"".","ProyectoWeb/reporte_html/index.html","119","MAJOR","OPEN","Web:S5256"
"BUG","Add ""<th>"" headers to this ""<table>"".","ProyectoWeb/reporte_html/index.html","145","MAJOR","OPEN","Web:S5256"
"BUG","Add ""<th>"" headers to this ""<table>"".","ProyectoWeb/reporte_html/index.html","157","MAJOR","OPEN","Web:S5256"
"BUG","Add ""<th>"" headers to this ""<table>"".","ProyectoWeb/reporte_html/index.html","170","MAJOR","OPEN","Web:S5256"
"BUG","Do not check floating point equality with exact values, use a range instead.","ProyectoWeb/Models/Factura.cs",,"MAJOR","CLOSED","csharpsquid:S1244"
"BUG","Add a <title> tag to this page.","ProyectoWeb/Pages/_Host.cshtml",,"MAJOR","CLOSED","Web:PageWithoutTitleCheck"
"BUG","Do not check floating point equality with exact values, use a range instead.","ProyectoWeb/Services/FacturaService.cs",,"MAJOR","CLOSED","csharpsquid:S1244"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/AuthController.cs",,"MAJOR","CLOSED","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/AuthController.cs",,"MAJOR","CLOSED","csharpsquid:S2629"
"CODE_SMELL","Use <nav> instead of the navigation role to ensure accessibility across all devices.","ProyectoWeb/reporte_html/index.html","48","MAJOR","OPEN","Web:S6819"
"CODE_SMELL","Reduce the number of Information logging calls within this code block from 3 to the 2 allowed.","ProyectoWeb/Pages/LoginPage.cshtml.cs",,"MINOR","CLOSED","csharpsquid:S6664"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Pages/LoginPage.cshtml.cs",,"MAJOR","CLOSED","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Pages/LoginPage.cshtml.cs",,"MAJOR","CLOSED","csharpsquid:S2629"
"CODE_SMELL","Make 'ContieneCaracteresInseguros' a static method.","ProyectoWeb/Pages/LoginPage.cshtml.cs",,"MINOR","CLOSED","csharpsquid:S2325"
"CODE_SMELL","Remove this commented out code.","ProyectoWeb/Program.cs",,"MAJOR","CLOSED","csharpsquid:S125"
"CODE_SMELL","Text does not meet the minimal contrast requirement with its background.","ProyectoWeb/wwwroot/css/site.css",,"MAJOR","CLOSED","css:S7924"
"CODE_SMELL","Text does not meet the minimal contrast requirement with its background.","ProyectoWeb/wwwroot/css/site.css",,"MAJOR","CLOSED","css:S7924"
"CODE_SMELL","Reduce the number of Information logging calls within this code block from 3 to the 2 allowed.","ProyectoWeb/Controllers/PagoController.cs",,"MINOR","CLOSED","csharpsquid:S6664"
"CODE_SMELL","Define a constant instead of using this literal 'Error al obtener solicitudes' 4 times.","ProyectoWeb/Controllers/SolicitudController.cs",,"MINOR","CLOSED","csharpsquid:S1192"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/AbonoController.cs",,"MAJOR","CLOSED","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/AbonoController.cs",,"MAJOR","CLOSED","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/AbonoController.cs",,"MAJOR","CLOSED","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/AuthController.cs",,"MAJOR","CLOSED","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/EmpleadoController.cs",,"MAJOR","CLOSED","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/EmpleadoController.cs",,"MAJOR","CLOSED","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/EmpleadoController.cs",,"MAJOR","CLOSED","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/EmpleadoController.cs",,"MAJOR","CLOSED","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/EmpleadoController.cs",,"MAJOR","CLOSED","csharpsquid:S2629"
